focal_reach,stream_order,Year_2015,Year_2016,Year_2018,Year_2021
20531,4,0,0,0,0
20542,4,0,0,0,0
20567,4,0,0,0,0
20595,4,0,0,0,0
20614,4,0,0,0,0
20630,4,0,0,0,0
20635,4,0,0,0,0
20646,4,0,0,0,0
20683,4,0,0,0,0
20715,4,0,0,0,0
20720,4,0,0,0,0
20740,4,0,0,0,0
20747,4,0,0,0,0
20752,4,0,0,0,0
20758,4,0,0,0,0
20786,4,0,0,0,0
20802,4,0,0,0,0
20804,4,0,0,0,0
20807,4,0,0,0,0
20811,4,0,0,0,0
20821,4,0,0,0,0
20853,4,0,0,0,0
20861,4,0,0,0,0
20866,4,0,0,0,0
20918,4,0,0,0,0
20932,4,0,0,0,0
20952,4,0,0,0,0
20974,4,0,0,0,0
20976,4,0,0,0,0
1165,5,0,0,0,0
1360,5,0,0,0,0
1471,5,0,0,0,0
1512,5,0,0,0,0
1516,5,0,0,0,0
1578,5,0,0,0,0
1661,5,0,0,0,0
1749,5,0,0,0,0
1847,5,0,0,0,0
2090,5,0,0,0,0
2142,5,0,0,0,0
2167,5,0,0,0,0
2212,5,0,0,0,0
2252,5,0,0,0,0
2284,5,0,0,0,0
2397,5,0,0,0,0
2478,5,0,0,0,0
2589,5,0,0,0,0
2636,5,0,0,0,0
2802,5,0,0,0,0
2881,5,0,0,0,0
2900,5,0,0,0,0
2983,5,0,0,0,0
3054,5,0,0,0,0
3085,5,0,0,0,0
3086,5,0,0,0,0
3099,5,0,0,0,0
3154,5,0,0,0,0
3288,5,0,0,0,0
3326,5,0,0,0,0
3376,5,0,0,0,0
3394,5,0,0,0,0
3690,5,0,0,0,0
3707,5,0,0,0,0
3716,5,0,0,0,0
3781,5,0,0,0,0
3928,5,0,0,0,0
3954,5,0,0,0,0
4128,5,332.6502247042403,197.8218447369936,228.98341036949472,141.74428277402774
4196,5,0,0,0,0
4224,5,0,0,0,0
4298,5,0,0,0,0
4324,5,0,0,0,0
4536,5,0,0,0,0
4657,5,0,0,0,0
4721,5,0,0,0,0
4774,5,485.79174569972736,272.37029713486834,334.8077797018897,190.2656557931683
4864,5,0,0,0,0
5025,5,98.73244621136834,235.60562408577567,127.72648126895041,12.865105267064395
5079,5,81.57920802000329,204.67631005177176,95.10861875771829,0
5134,5,0,0,0,0
5202,5,8278.002095940505,4881.153230569648,5684.689398278664,3276.693963497033
5277,5,0,0,0,0
5285,5,0,0,0,0
5356,5,81.57920802000329,204.67631005177176,95.10861875771829,0
5440,5,0,0,0,0
5542,5,0,0,0,0
5570,5,0,0,0,0
5696,5,2656.2107354675222,1429.303690230196,1755.7284069921152,1089.866946007041
5745,5,60.47732474499717,135.69663455003771,85.83821325568569,69.94613893781234
5810,5,0,0,0,0
5890,5,0,0,0,0
5897,5,0,0,0,0
5938,5,0,0,0,0
5957,5,0,0,0,0
6097,5,0,0,0,0
6135,5,23.75556468050982,37.81810215824388,14.896761673467187,10.999557742831652
6142,5,21.875910316828794,71.59992349476387,25.910340284873737,29.08373407831789
6164,5,0,0,0,0
6191,5,0,0,0,0
6192,5,0,0,0,0
6221,5,40.760145684278356,144.0534565249855,98.16965679740571,31.618144342500443
6265,5,350.82521490364854,812.382602971276,768.8904679397842,501.1601863047121
6296,5,138.97735417089834,57.062792204706504,56.82542044415116,67.16389553973775
6326,5,0,0,0,0
6352,5,0,0,0,0
6417,5,0,0,0,0
6431,5,2782.529328216655,1497.8810242534996,1873.0407802224217,1089.7967619899594
6497,5,0,0,0,0
6535,5,123.93667919474572,239.61313972131802,294.1024285520415,153.55240082999404
6581,5,0,0,0,0
6618,5,0,0,0,0
6787,5,0,0,0,0
6875,5,0,0,0,0
7119,5,0,0,0,0
7172,5,0,0,0,0
7268,5,89.66174555734025,235.98052468617894,162.99548120879143,148.5472633382358
7270,5,4.823762097637244,0,13.903882029599398,0
7296,5,70.66196956105368,272.54305752407777,147.70929816277473,55.43049836237224
7329,5,0,0,0,0
7341,5,0,0,0,0
7343,5,0,0,0,0
7357,5,0,0,0,0
7494,5,15.531437706709996,26.001460914295663,22.395339841436712,88.04106106597993
7502,5,324.9732547956418,172.70170063841422,227.06378670287071,143.36219143530064
7696,5,0,0,0,0
7728,5,0,0,0,0
7807,5,45.690422246990224,80.41967246589131,47.07576914138366,10.830097851214688
7868,5,0,0,0,0
7895,5,94.23854565905671,102.80452626673681,104.51514012416493,13.929709642419152
7913,5,53.64994909971998,83.61555592580763,157.56092886506312,135.8440594371286
8056,5,0,0,0,0
8129,5,0,0,0,0
8192,5,4.892869354751599,16.262965026324267,19.69851598312696,6.923343048663466
8463,5,0,0,0,0
8534,5,0,0,0,0
8577,5,192.73251195462194,476.294620107818,89.2054703039475,79.25461928479312
8704,5,0,0,0,0
8869,5,66.77950668383622,212.87907833600343,165.69485862345908,118.74011578353762
8944,5,0,0,0,0
9126,5,0,0,0,0
9208,5,0,0,0,0
9349,5,0,0,0,0
9600,5,89.25452891865153,209.33600760983404,45.96074460378408,22.46720999652634
9796,5,0,0,0,0
9798,5,119.31091032933409,193.49629654676326,229.710396412935,553.5794503690415
9871,5,283.1303172694469,666.2213462385544,508.9865779013661,399.3045482544538
9925,5,0,0,0,0
9972,5,67.1238980026384,50.751843760020535,105.3153733976082,117.05468401057873
10002,5,98.29048583526725,197.35418594083148,20.71024578357689,44.2494714563365
10083,5,0,0,0,0
10166,5,0,0,0,0
10201,5,0,0,0,0
10228,5,0,0,0,0
10234,5,5.784894830146146,28.050439281236613,15.402917243721753,0
10305,5,333.6875352990249,685.4250223100605,1049.6208893185128,953.8234938377883
10344,5,0,0,0,0
10395,5,0,0,0,0
10585,5,673.8681804494123,1538.6623597211612,1445.880339013417,982.0651166900223
11198,5,211.20675180321618,236.54150375226223,239.39142944881223,40.49575639542611
11469,5,0,0,0,0
11500,5,1074.5932516073171,585.6071505642784,772.6172154526757,435.85514340540067
11524,5,1137.6367594640724,1588.6523794747984,1278.9918814928592,204.36614414269908
11639,5,80.61788448942588,187.1215471002883,213.672262558608,119.46704962873501
11763,5,0,0,0,0
11766,5,22.126460123464504,34.482103567384094,38.32289943560621,34.54917978891399
11786,5,38.58123309811445,47.34925092109229,69.0702964006758,105.65919846661482
11894,5,0,0,0,0
11895,5,80.61788448942588,187.1215471002883,213.672262558608,119.46704962873501
11990,5,377.32889956469813,189.7249992133652,256.2497124378777,145.71625125101932
12092,5,448.5814424599773,1021.984115253282,638.5039885047771,953.9605804047154
12266,5,103.25596657957459,153.81457059751548,278.1030827079901,248.606853564328
12430,5,0,0,0,0
12657,5,0,17.26992382570186,0,28.020609074762437
12706,5,0,0,0,0
12793,5,0,0,0,0
12804,5,0,303.924217193825,128.928456338453,49.59029688154108
13003,5,0,0,0,0
13105,5,0,0,0,0
13138,5,9.27437272474838,10.756921145165023,5.145317878071115,16.788931771046947
13189,5,109.32487250626158,128.66967930810117,181.06721249207152,190.3085755128949
13468,5,0,0,0,0
13475,5,0,16.721758136057822,0,25.28220185621116
13486,5,0,0,0,0
13522,5,389.3393197246416,520.6755192011935,854.683215734902,836.1333869788955
13790,5,25.63895783929294,26.219451861261838,43.81586228110161,40.86270639972183
13817,5,0,0,0,0
13830,5,0,0,0,0
13852,5,0,0,0,0
13868,5,0,0,0,0
13881,5,4690.849446709636,2568.5167640842546,3273.021746753593,1876.0260827775408
14020,5,33.133529577649725,89.44634606312206,66.00420817360342,20.415645868529605
14124,5,0,0,0,0
14219,5,0,0,0,0
14363,5,3570.224209830609,1977.9561499884885,2580.459341604015,1402.40692786534
14418,5,67.93177226365273,4.376091429241158,65.2889160170961,7.317698546589137
14421,5,254.85568284438645,229.29274866096785,413.93741258098987,33.55221653311428
14459,5,64.18532424956173,103.45861272498824,194.86949551808476,172.70684922633217
14626,5,0,75.38281585733789,32.363573538932876,20.1543571720176
14682,5,0,0,0,0
14738,5,0,0,0,0
14756,5,0,0,0,0
14967,5,0,0,0,0
15002,5,0,0,0,0
15030,5,38.627872065310655,125.75017921236977,64.56274382157952,84.31798142815353
15052,5,0,0,0,0
15134,5,0,0,0,0
15154,5,879.6607817018762,475.63969644086507,600.4261133100222,341.17061981495067
15178,5,0,0,0,0
15219,5,0,0,0,0
15253,5,0,0,0,0
15293,5,0,0,0,0
15476,5,445.6400389731269,243.93314595314394,316.4532663082625,169.5130395517529
15531,5,32.25964258344226,109.92005069871914,115.56247172078396,69.86714008409172
15563,5,0,0,0,0
15615,5,0,0,0,0
15700,5,0,0,0,0
15711,5,185.2436621708904,537.6353979640369,378.43288275418905,288.30236361107
15743,5,191.2948048647605,581.7371428078142,429.33115870232245,342.7147693836128
15752,5,363.61331525387,815.504668131193,718.1710583894201,531.1713481388505
15770,5,0,0,0,0
15790,5,0,0,0,0
15913,5,25.283990165316773,32.07497204328692,25.385573572902505,71.43135303596497
15971,5,0,0,0,0
15977,5,0,0,0,0
15996,5,0,0,0,0
16022,5,0,0,0,0
16025,5,81.50115724730043,189.6543561117071,123.65901283460133,266.9001031083046
16060,5,0,0,0,0
16091,5,233.80316214238695,101.28541046483657,66.36378533971572,92.70189714339762
16113,5,0,0,0,0
16140,5,0,0,11.589132750256024,0
16171,5,0,0,0,0
16195,5,0,0,0,0
16257,5,1420.666570133352,3733.4633793842895,2695.260465470874,2055.8664613910773
16284,5,0,0,0,0
16366,5,0,0,0,0
16407,5,0,0,0,0
16531,5,0,0,0,0
16573,5,328.00845731978745,782.8517780940887,475.7754699335947,520.509084156359
16577,5,0,0,0,0
16603,5,0,0,0,0
16626,5,0,0,0,0
16707,5,0,0,0,0
16726,5,0,0,0,0
16735,5,46.893196504609584,97.6380641228868,72.57470471802698,16.32838271797076
16783,5,0,0,0,0
16798,5,0,0,0,0
16844,5,210.5915978568155,422.69701357729457,470.936447478488,268.4226277607328
16854,5,141.4236471764487,282.46916056783743,311.85359714694016,178.22659419275107
16878,5,178.54078779406439,402.7676148535416,375.96957226158077,249.40814702586908
16885,5,601.8502642934475,1414.236273489746,1299.6258075330659,878.3600857354926
16999,5,0,0,0,0
17025,5,0,0,0,0
17198,5,100.18908866927195,211.54425004660257,216.01954776521023,141.41553239914418
17245,5,15.992279836226103,30.320092867111796,11.293603305859657,27.041089972783215
17330,5,332.44950425372787,764.1254359262463,489.69283994914207,459.3195730121597
17345,5,0,0,0,0
17400,5,28.535322635258144,56.82091780557534,18.69998857840696,35.529515186098365
17457,5,0,0,0,0
17504,5,0,0,0,0
17526,5,1047.1369479115538,2617.2926574759113,1667.3321897165633,1833.3508998360655
17601,5,0,0,0,0
17616,5,0,0,0,0
17793,5,9.345019712154306,26.54988260201269,24.91772498863175,5.304491074545705
17813,5,0,0,0,0
17837,5,826.52664096368,1793.8964659643066,1148.474215322819,1626.5975397117093
17844,5,0,0,0,0
17903,5,0,0,0,0
17934,5,64.13205118205664,152.65645862388217,107.5770038700873,171.7763722190613
17937,5,0,0,0,0
18055,5,0,0,0,0
18452,5,21.85908493736356,80.5232944721305,88.44171970118794,56.319170412142114
18471,5,0,0,0,0
18516,5,0,0,0,0
18559,5,0,0,0,0
18575,5,172.14283746720167,420.2869860703267,218.09857486771114,225.8338645964852
18782,5,0,0,0,0
18834,5,0,0,0,0
18845,5,0,0,0,0
18876,5,0,0,0,0
18884,5,0,0,0,0
18892,5,63.62897662818268,152.31753304695425,79.82039929957672,86.99711489020699
18912,5,15.928348169101625,20.26044417282791,11.256666134140607,7.365623481335873
18994,5,62.72468964147573,143.67195134146502,80.29960293803472,77.73109232052556
19045,5,0,0,0,0
19189,5,54.29229910978406,116.08734005183798,60.065536530981355,61.583265033830514
19213,5,130.60152147150924,290.30296060769433,178.2899200831373,177.8837251396972
19222,5,264.3138679510721,583.9768471433983,361.0380004519999,381.38741843489134
19251,5,0,0,0,0
19252,5,0,0,0,0
19323,5,420.9487356657576,1392.695566191834,933.6496311749711,766.2592469772176
19444,5,0,0,0,0
19533,5,0,0,0,0
19646,5,291.03875382681457,685.4715617737451,547.8453499860021,369.0459400527736
19780,5,0,0,0,0
19901,5,0,0,0,0
19966,5,0,0,0,0
19982,5,0,0,0,0
20166,5,0,0,0,0
20217,5,0,0,0,0
20268,5,98.49482387783038,207.9077638756408,212.4275676902982,139.1976712776157
20282,5,0,0,0,0
20325,5,0,0,0,0
20613,5,24.55417926668282,89.07716717433178,66.01542496007582,42.39809730659288
20616,5,0,0,0,0
20697,5,0,0,0,0
20700,5,0,0,0,0
20753,5,0,0,0,0
20760,5,0,0,0,0
1361,6,0,0,0,0
1682,6,0,0,0,0
2026,6,6579.186550842237,3358.6660109518907,4457.428077560635,2689.4801662807185
2145,6,6985.003711843898,3566.638332960132,4732.639901860392,2854.250733338225
2178,6,0,0,0,0
2191,6,9524.835577381236,5101.987208346804,6636.778319777168,3777.0934844091303
2217,6,0,0,0,0
2244,6,0,0,0,0
2548,6,0,0,0,0
2919,6,0,0,0,0
2978,6,0,0,0,0
3008,6,309.2853929651848,178.36121275340776,206.46131117356165,126.92059029426396
3202,6,1298.7148900723105,598.8984831202639,698.3152128746892,616.0813500856239
3881,6,14530.337000968724,8056.5951363929325,10148.551870288336,5680.147334554452
4014,6,0,0,0,0
4933,6,8489.816095082922,5262.520410974579,5851.442982966535,3346.515194051322
5361,6,128.56955219387547,324.59262787322973,166.003455594704,13.18451935185904
6356,6,552.2919150700211,1469.7966536809904,882.1742075676821,725.722629999183
6462,6,552.2919150700211,1469.7966536809904,882.1742075676821,725.722629999183
6665,6,2679.966300148032,1467.1217923884399,1770.6251686655824,1100.8665037498727
6863,6,0,0,0,0
7044,6,5145.838240074087,2880.696436027998,3455.123600149335,2081.23751016865
7217,6,303.5936163017024,448.0996368795792,323.01439387572833,60.19200267009031
7247,6,0,0,0,0
7397,6,113.94428461844768,399.5172510628835,266.4782113521581,127.64994023480878
7565,6,191.94125250666576,133.02278439440536,87.25648148970578,77.33479004008109
7732,6,764.868205238338,1759.7122137274305,1682.7648485338214,1102.7430618862277
7874,6,20.673315009486007,4.542374440418577,32.9044676226021,3.735042329391744
8150,6,948.3953816820494,2455.4067797883927,1831.4448554474218,941.0121079077417
8668,6,181.06134399346584,287.5848626924779,138.62687859413822,30.738613420502556
8732,6,311.61484161877297,429.5931200938026,714.4637848815814,701.3309718543048
9269,6,108.54790511799686,270.32771651121163,260.3151679347802,281.9517230498526
9314,6,16.114512031157478,27.224328268730588,38.28558485937088,91.73503068297464
9989,6,424.83402258219513,822.170738992666,1292.2116892512274,1181.6815504021122
10295,6,161.4230537089997,349.23567379371195,54.519362734705794,59.18460349084284
10510,6,6528.2374255905925,4633.248750217145,4227.915438261341,2588.1286840066277
10735,6,1809.9081453955123,4334.319824769473,3638.5931805567125,2480.2877808559965
10832,6,1931.6922770955375,3183.2313257318747,4162.411584764824,4412.957678900763
12218,6,876.1636408408766,1409.0635757805985,2130.6432573683837,2250.0663644670863
12441,6,424.257808942738,933.318317228963,1036.0747457073414,1005.3254631404234
12731,6,0,0,0,0
12847,6,0,0,0,0
13326,6,666.5707857211733,585.5194898857364,1050.590886072367,80.69595972708893
14045,6,5173.952469450403,2861.910232271168,3608.22191100785,2068.8239527779483
14438,6,0,0,0,0
14696,6,236.85594356919975,315.5533779399075,440.6401473359106,636.2245479656584
14897,6,246.3699031666661,342.2902169297912,469.86945424704,714.3454854734396
14936,6,34.04587710009215,93.20942990112356,51.13481492575587,111.28032246095124
14968,6,160.12370676608208,479.0434342526716,309.2627220794403,260.3041398246676
15093,6,231.73419632516516,631.2895996644864,442.14249127383874,375.0094977918025
15361,6,0,0,0,0
15428,6,7834.6565896267,4549.840258342307,5227.388401955218,3105.251468836626
15448,6,0,0,0,0
15618,6,0,0,0,0
16183,6,1738.5696024386757,4122.233172624707,3647.5552333185587,2544.597220107588
16349,6,158.46645044128655,369.89306084479375,367.8756080097056,247.3525455908608
16446,6,146.08678751155202,366.6997683044394,193.2708964724859,355.3188004254499
16468,6,1911.4359352016884,4458.877596376791,3907.0618424548074,2772.031118554157
16629,6,2777.006932872275,6820.997808120796,4296.448459389124,5104.238114866366
16632,6,167.9274510695094,280.57363376605105,316.42864263653337,424.7578520389769
16660,6,145.98004476888443,337.8781771937469,226.85252116628112,62.434490326420374
16669,6,81.34648694749785,215.3562291578943,104.25033893392165,203.8009551956374
16849,6,286.74275212170505,868.6779984921188,613.39322955536,438.32387059905545
16877,6,426.57707542554147,1026.0621850602995,918.104666359856,617.0984446901848
16960,6,369.3970634905478,880.2511158190168,531.8584304640976,539.1292759832202
17067,6,61.55252466694678,166.26859056338873,98.9459861745501,103.71368438118878
17426,6,1290.8195004147044,3381.621086332376,2088.6378029973116,1951.3667931383297
17487,6,1265.1588397152545,3018.6682490884136,1829.450517724969,2205.2677073432606
17731,6,1025.9211157682214,2286.712544374151,1452.914219356636,2045.2343683122501
17748,6,1025.9211157682214,2286.712544374151,1452.914219356636,2045.2343683122501
17807,6,2231.274677691073,5164.12030140863,3195.3225316250396,4422.974742012946
18300,6,200.8679892922391,469.66667287153797,278.9180634355377,344.98513201685665
18307,6,3642.74966712162,8850.30090286457,8264.347119605267,4976.227896515687
18524,6,0,0,0,0
18944,6,206.43294347843522,470.49652498002115,264.7714758937859,323.7503888404102
19490,6,0,0,0,0
19619,6,1945.1566686357025,4655.181994393444,4371.013293900831,2869.3419552104465
19622,6,681.5498745992601,1581.416786877021,1415.1035760489685,917.5210292321534
20036,6,467.19680910983493,1031.3006779138375,1000.2505962141429,596.1603292682967
20215,6,68.92687441429734,153.4627925494956,153.02241462694374,95.36072549760333
1814,7,3288.8781575686144,2003.474041076352,2112.890151813351,1438.2849914834042
1985,7,35942.089490294864,22053.154536529597,23860.845144277362,14688.719403880723
2101,7,18410.840736601574,9725.569237701411,12687.336304411196,7370.742244301001
10822,7,4473.381105052953,10684.511724869872,9419.014385345448,6201.444181677753
12002,7,9068.71726053663,17861.81201954752,18358.981095893378,18436.26801882243
12103,7,6969.071473231766,5630.128106347779,4483.54049850939,2718.9346373167373
13074,7,13815.103959186019,29158.52188435493,28269.19314886945,25173.60597122295
15014,7,2319.303645313145,1204.784183850295,1608.027163518439,891.8623785332152
17129,7,3412.957388570989,8423.081420166953,5210.284347250554,5404.536356086493
17137,7,1366.5867816352386,3404.2114031189444,2284.3536600549505,2177.320500031736
17217,7,1322.9807863078922,3064.896028518133,1947.127611103484,2830.602896849035
17257,7,4492.790747545736,10751.910389454019,9913.536419938608,6503.338172418833
17642,7,3928.967821589013,8949.370263437653,5576.389809166728,8000.274929354868
17942,7,5661.997562261469,13967.221554773481,12290.208080168633,8635.422109557501
12267,8,36281.578872296675,45533.99415505716,38916.736267398825,29784.899611907545
13301,8,13820.09312877594,29178.39139964378,28293.658407134433,25212.176574618486
16892,8,11035.887783446831,27062.221047930158,23524.66821273811,15943.274224679379
16917,8,10276.037891240216,24630.78583535678,18929.89920108477,17679.544561632094
